4755,"RAKUTEN, INC.",楽天,50,Services,Consumer Goods
4901,FUJIFILM HOLDINGS CORP.,富士フイルムホールディングス,50,Chemicals,Materials
4902,"KONICA MINOLTA, INC.",コニカミノルタ,50,Precision Instruments,Technology
4911,"SHISEIDO CO., LTD.",資生堂,50,Chemicals,Materials
5019,"IDEMITSU KOSAN CO., LTD.",出光興産,125,Petroleum,Materials
5020,"JXTG HOLDINGS, INC.",ＪＸＴＧホールディングス,50,Petroleum,Materials
5101,"THE YOKOHAMA RUBBER CO., LTD.",横浜ゴム,100,Rubber,Materials
5108,BRIDGESTONE CORP.,ブリヂストン,50,Rubber,Materials
5201,AGC INC.,ＡＧＣ,250,Glass & Ceramics,Materials
5202,"NIPPON SHEET GLASS CO., LTD.",日本板硝子,500,Glass & Ceramics,Materials
5214,"NIPPON ELECTRIC GLASS CO., LTD.",日本電気硝子,500/3,Glass & Ceramics,Materials
5232,"SUMITOMO OSAKA CEMENT CO., LTD.",住友大阪セメント,500,Glass & Ceramics,Materials
5233,TAIHEIYO CEMENT CORP.,太平洋セメント,500,Glass & Ceramics,Materials
5301,"TOKAI CARBON CO., LTD.",東海カーボン,50,Glass & Ceramics,Materials
5332,TOTO LTD.,ＴＯＴＯ,100,Glass & Ceramics,Materials
5333,"NGK INSULATORS, LTD.",日本碍子,50,Glass & Ceramics,Materials
5401,NIPPON STEEL CORP.,日本製鉄,500,Steel,Materials
5406,"KOBE STEEL, LTD.",神戸製鋼所,500,Steel,Materials
5411,"JFE HOLDINGS, INC.",ジェイエフイーホールディングス,500,Steel,Materials
5541,"PACIFIC METALS CO., LTD.",大平洋金属,500,Steel,Materials
5631,"THE JAPAN STEEL WORKS, LTD.",日本製鋼所,250,Machinery,Capital Goods/Others
5703,"NIPPON LIGHT METAL HOLDINGS CO., LTD.",日本軽金属ホールディングス,50,Nonferrous Metals,Materials
5706,MITSUI MINING & SMELTING CO.,三井金属鉱業,500,Nonferrous Metals,Materials
5707,"TOHO ZINC CO., LTD.",東邦亜鉛,500,Nonferrous Metals,Materials
5711,MITSUBISHI MATERIALS CORP.,三菱マテリアル,500,Nonferrous Metals,Materials
5713,"SUMITOMO METAL MINING CO., LTD.",住友金属鉱山,100,Nonferrous Metals,Materials
5714,"DOWA HOLDINGS CO., LTD.",ＤＯＷＡホールディングス,250,Nonferrous Metals,Materials
5801,"FURUKAWA ELECTRIC CO., LTD.",古河電気工業,500,Nonferrous Metals,Materials
5802,"SUMITOMO ELECTRIC IND., LTD.",住友電気工業,50,Nonferrous Metals,Materials
5803,FUJIKURA LTD.,フジクラ,50,Nonferrous Metals,Materials
5901,"TOYO SEIKAN GROUP HOLDINGS, LTD.",東洋製罐グループホールディングス,50,Nonferrous Metals,Materials
6098,"RECRUIT HOLDINGS CO., LTD.",リクルートホールディングス,50/3,Services,Consumer Goods
6103,OKUMA CORP.,オークマ,250,Machinery,Capital Goods/Others
6113,"AMADA HOLDINGS CO., LTD.",アマダホールディングス,50,Machinery,Capital Goods/Others
6178,"JAPAN POST HOLDINGS CO., LTD.",日本郵政,50,Services,Consumer Goods
6301,KOMATSU LTD.,小松製作所,50,Machinery,Capital Goods/Others
6302,"SUMITOMO HEAVY IND., LTD.",住友重機械工業,250,Machinery,Capital Goods/Others
6305,"HITACHI CONST. MACH. CO., LTD.",日立建機,50,Machinery,Capital Goods/Others
6326,KUBOTA CORP.,クボタ,50,Machinery,Capital Goods/Others
6361,EBARA CORP.,荏原製作所,250,Machinery,Capital Goods/Others
6367,"DAIKIN INDUSTRIES, LTD.",ダイキン工業,50,Machinery,Capital Goods/Others
6471,NSK LTD.,日本精工,50,Machinery,Capital Goods/Others
6472,NTN CORP.,ＮＴＮ,50,Machinery,Capital Goods/Others
6473,JTEKT CORP.,ジェイテクト,50,Machinery,Capital Goods/Others
6479,MINEBEA MITSUMI INC.,ミネベアミツミ,50,Electric Machinery,Technology
6501,"HITACHI, LTD.",日立製作所,250,Electric Machinery,Technology
6503,MITSUBISHI ELECTRIC CORP.,三菱電機,50,Electric Machinery,Technology
6504,"FUJI ELECTRIC CO., LTD.",富士電機,250,Electric Machinery,Technology
6506,YASKAWA ELECTRIC CORP.,安川電機,50,Electric Machinery,Technology
6645,OMRON CORP.,オムロン,50,Electric Machinery,Technology
6674,GS YUASA CORP.,ジーエス・ユアサコーポレーション,250,Electric Machinery,Technology
6701,NEC CORP.,日本電気,500,Electric Machinery,Technology
6702,FUJITSU LTD.,富士通,500,Electric Machinery,Technology
6703,"OKI ELECTRIC IND. CO., LTD.",沖電気工業,500,Electric Machinery,Technology
6724,SEIKO EPSON CORP.,セイコーエプソン,25,Electric Machinery,Technology
6752,PANASONIC CORP.,パナソニック,50,Electric Machinery,Technology
6758,SONY CORP.,ソニー,50,Electric Machinery,Technology
6762,TDK CORP.,ＴＤＫ,50,Electric Machinery,Technology
6770,"ALPS ALPINE CO., LTD.",アルプスアルパイン,50,Electric Machinery,Technology
6841,YOKOGAWA ELECTRIC CORP.,横河電機,50,Electric Machinery,Technology
6857,ADVANTEST CORP.,アドバンテスト,25,Electric Machinery,Technology
6902,DENSO CORP.,デンソー,50,Electric Machinery,Technology
6952,"CASIO COMPUTER CO., LTD.",カシオ計算機,50,Electric Machinery,Technology
6954,FANUC CORP.,ファナック,50,Electric Machinery,Technology
6971,KYOCERA CORP.,京セラ,25,Electric Machinery,Technology
6976,"TAIYO YUDEN CO., LTD.",太陽誘電,50,Electric Machinery,Technology
6988,NITTO DENKO CORP.,日東電工,50,Chemicals,Materials
